product_name,price,quantity,unit,date,seller
Hoja De Platano,88.2,1,kg,2026-02-13,lacomer
Hierba De Olor,15,1,pza,2026-02-13,lacomer
Berza,20.8,1,pza,2026-02-13,lacomer
Albahaca Morada,39.9,50,g,2026-02-13,lacomer
Hoja Para Tamal,64.5,1,pza,2026-02-13,lacomer
Ensalada Mixta,32.9,250,g,2026-02-13,lacomer
Lechuga Baby Escarlata,53.6,4,pza,2026-02-13,lacomer
Hinojo,15,1,pza,2026-02-13,lacomer
Menta Hortalizas Del Vólcan,29.9,45,g,2026-02-13,lacomer
Hoja Santa,15,1,pza,2026-02-13,lacomer
Garbanza,22.3,1,pza,2026-02-13,lacomer
Coco En Rebanadas Con Chamoy,55.6,160,g,2026-02-13,lacomer
Mejorana,16.7,1,pza,2026-02-13,lacomer
Ruda,15,1,pza,2026-02-13,lacomer
Alfalfa Fresca,19.1,1,pza,2026-02-13,lacomer
Vaina De Nabo,18.2,1,pza,2026-02-13,lacomer
Sopa Puchero,19.9,1,pza,2026-02-13,lacomer
Eryngii,59.9,160,g,2026-02-13,lacomer
Sopa Arrocera,19.9,1,pza,2026-02-13,lacomer
Pak Choy,72.3,1,kg,2026-02-13,lacomer
Mix De Berries,145,1,pza,2026-02-13,lacomer
Acelga Arcoiris,18.2,1,pza,2026-02-13,lacomer
Ensalada Ancestral Alta En Proteina,59.9,150,g,2026-02-13,lacomer
Seta Blanca Fresca Empacada,39.9,250,g,2026-02-13,lacomer
Hoja De Aguacate,13.5,1,pza,2026-02-13,lacomer
Sopa En Escabeche,19.9,1,pza,2026-02-13,lacomer
Lechuga Escarola,19.2,1,pza,2026-02-13,lacomer
Napa,62.6,1,kg,2026-02-13,lacomer
Aderezo Ranch Chipotle,99.9,354,ml,2026-02-13,lacomer
Germen De Lenteja,60.6,1,kg,2026-02-13,lacomer
Salvia,16.7,1,pza,2026-02-13,lacomer
Huahuzontle,46.7,1,kg,2026-02-13,lacomer
Arnica,17.9,1,pza,2026-02-13,lacomer
Ensalada Picante Alta En Proteina,59.9,150,g,2026-02-13,lacomer
Vinagreta Mostaza Dulce Plant Based,85.7,280,ml,2026-02-13,lacomer
Ensalada Mixta De Vegetales,61.9,150,g,2026-02-13,lacomer
Hoja De Naranjo,13.5,1,pza,2026-02-13,lacomer
Papalo,15,1,pza,2026-02-13,lacomer
Flores Comestibles,68.9,1,pza,2026-02-13,lacomer
Huitlacoche Fresco Empacado,39.9,250,g,2026-02-13,lacomer
Gordolobo,15,1,pza,2026-02-13,lacomer
Ensalada Oriental,76.2,250,g,2026-02-13,lacomer
Germen De Trigo,55.6,1,kg,2026-02-13,lacomer
Col China,103.5,1,pza,2026-02-13,lacomer
Vinagreta Mango Tropical Plant Based,85.7,280,ml,2026-02-13,lacomer
Cola Caballo,16.7,1,pza,2026-02-13,lacomer
Rabano Negro,64.5,1,kg,2026-02-13,lacomer
Elotillo,52.6,1,pza,2026-02-13,lacomer
Rabano Grande,32.6,1,kg,2026-02-13,lacomer
Ajenjo,17.9,1,pza,2026-02-13,lacomer
Eucalipto,13.8,1,pza,2026-02-13,lacomer
Vinagreta Tamarindo Plant Based,85.7,280,ml,2026-02-13,lacomer
Brote De Cilantro,144.7,1,g,2026-02-13,lacomer
Brote De Betabel,144.7,1,g,2026-02-13,lacomer
Vinagreta Frutal Plant Based,85.7,280,ml,2026-02-13,lacomer
Brote De Chicharo,144.7,1,g,2026-02-13,lacomer
Brote De Zanahoria,144.7,1,g,2026-02-13,lacomer
Germen De Cilantro,79.9,1,kg,2026-02-13,lacomer
Germen De Linaza,79.9,1,kg,2026-02-13,lacomer
Brote De Amaranto,144.7,1,g,2026-02-13,lacomer
Elote Cacahuazintle,53.8,1,pza,2026-02-13,lacomer
Fresa lb Giant,159,1,pza,2026-02-13,lacomer
Germen De Amaranto,79.9,1,kg,2026-02-13,lacomer
Germen De Betabel,79.9,1,kg,2026-02-13,lacomer
Germen De Rabano,79.9,1,kg,2026-02-13,lacomer
Litchi,144.4,1,kg,2026-02-13,lacomer
Rabano Arcoiris  Pza,15.2,1,pza,2026-02-13,lacomer
Salsifis,379.2,1,kg,2026-02-13,lacomer
Betabel,39.9,1,kg,2026-02-13,walmart
Calabaza japonesa,49.9,1,kg,2026-02-13,walmart
Papa blanca alfa,39.9,1,kg,2026-02-13,walmart
Cebolla Blanca,27.9,1,kg,2026-02-13,walmart
Camote amarillo,99,1,kg,2026-02-13,walmart
Camote de azafrán,54,1,kg,2026-02-13,walmart
Camote amarillo en malla,95,1,pza,2026-02-13,walmart
Poro,49.9,1,kg,2026-02-13,walmart
Cebolla blanca en malla,23.5,1,kg,2026-02-13,walmart
Camote morado,99,1,kg,2026-02-13,walmart
Papa en malla,25.9,1,kg,2026-02-13,walmart
Cebolla morada,34,1,kg,2026-02-13,walmart
