product_name,price,quantity,unit,seller,date
Baby Bella,59.9,350,grs,lacomer,2026-01-28
Corazon De Lechuga Orejona,46.9,3,pza,lacomer,2026-01-28
Germinado De Brocoli,39.9,200,grs,lacomer,2026-01-28
Tomatoes Comets,54.9,283,grs,lacomer,2026-01-28
Coliflor Naranja,49.9,1100,grs,lacomer,2026-01-28
Salvia,33.9,50,grs,lacomer,2026-01-28
Germinado De Alfalfa Con Amaranto,39.9,200,grs,lacomer,2026-01-28
Germinado De Alfalfa Con Betabel,39.9,200,grs,lacomer,2026-01-28
Endivia,98.5,400,grs,lacomer,2026-01-28
Germinado De Alfalfa Con Chamoy,29.9,80,grs,lacomer,2026-01-28
Shot Flushot,21,60,ml,lacomer,2026-01-28
Oregano,33.9,50,grs,lacomer,2026-01-28
Kale Y Espinaca Hidroponica,49.9,300,grs,lacomer,2026-01-28
Jugo De Naranja Natural,41.6,350,ml,lacomer,2026-01-28
Germinado De Alfalfa Con Limon Y Chile,29.9,80,grs,lacomer,2026-01-28
Germinado De Alfalfa Con Rabano,39.9,200,grs,lacomer,2026-01-28
Coliflor Verde,49.9,1,pza,lacomer,2026-01-28
Estragon,33.9,50,grs,lacomer,2026-01-28
Shot Fatloss,21,60,ml,lacomer,2026-01-28
Jugo Zanahoria,39.9,350,ml,lacomer,2026-01-28
Elote Amarillo,69.9,700,grs,lacomer,2026-01-28
Guarnicion Mixta,39.9,500,grs,lacomer,2026-01-28
Plátano Tabasco Orgánico,36.9,1,kg,lacomer,2026-01-28
Palitos De Apio Organico,31.3,1,pza,lacomer,2026-01-28
Ajo Organico,45.6,120,grs,lacomer,2026-01-28
Corazon De Lechuga Organica,52.9,1,pza,lacomer,2026-01-28
Jitomate Cherry Organico,52.4,280,grs,lacomer,2026-01-28
Manzana Royal Gala Organica,98.5,907,grs,lacomer,2026-01-28
Jitomate Baby Tom,31.9,180,grs,lacomer,2026-01-28
Mora Azul Organica,93.7,170,grs,lacomer,2026-01-28
Cebolla Blanca Organica,55.6,700,grs,lacomer,2026-01-28
Jitomate Saladet Organico,43.5,450,grs,lacomer,2026-01-28
Jitomate Uva Organico,54,280,grs,lacomer,2026-01-28
Corazon De Apio Organico,32.4,450,grs,lacomer,2026-01-28
Datil Medjool Organico,179,340,grs,lacomer,2026-01-28
Ensalada De Arugula Organica,85.2,180,grs,lacomer,2026-01-28
Ensalada Mixta Organica,82.5,180,grs,lacomer,2026-01-28
Ensalada Italiana Organica,39.9,284,grs,lacomer,2026-01-28
Frambuesa Organica,93.7,170,grs,lacomer,2026-01-28
Zarzamora Organica,76.2,170,grs,lacomer,2026-01-28
Jamaica Organica,77.1,100,grs,lacomer,2026-01-28
Manzana Granny Smith Organicas,98.5,907,grs,lacomer,2026-01-28
Manzana Gala Organica,109.1,1,pza,lacomer,2026-01-28
Cilantro,10.9,1,pza,lacomer,2026-01-28
Nopal,29.9,1,kg,lacomer,2026-01-28
Brocoli,49.9,1,kg,lacomer,2026-01-28
Perejil,10.9,1,pza,lacomer,2026-01-28
Espinaca,7.9,1,pza,lacomer,2026-01-28
Lechuga Romana,23.9,1,pza,lacomer,2026-01-28
Nopal Cambray,89.9,1,kg,lacomer,2026-01-28
Coliflor,49.9,1,pza,lacomer,2026-01-28
Cebolla Cambray,10.9,1,pza,lacomer,2026-01-28
Epazote,23.2,1,pza,lacomer,2026-01-28
Nopal Picado,29.5,1,kg,lacomer,2026-01-28
Elote Blanco,13.9,1,pza,lacomer,2026-01-28
Col Blanca,29.9,1,kg,lacomer,2026-01-28
Albahaca,18.6,1,pza,lacomer,2026-01-28
Espinaca Baby,98.5,142,grs,lacomer,2026-01-28
Hierbabuena,21.4,1,pza,lacomer,2026-01-28
Lechuga Italiana,19.9,1,pza,lacomer,2026-01-28
Rabano Cambray,18.9,1,pza,lacomer,2026-01-28
Acelga,7.9,1,pza,lacomer,2026-01-28
Lechuga Hidropónica Sweet,44.9,2,pza,lacomer,2026-01-28
Cebollines,19.8,1,pza,lacomer,2026-01-28
Menta,15.9,1,pza,lacomer,2026-01-28
Flor De Calabaza,59.9,1,pza,lacomer,2026-01-28
Romero Medicinal,15,1,pza,lacomer,2026-01-28
Duo Pack Berries,139,1,pza,lacomer,2026-01-28
Col Morada,50.2,1,kg,lacomer,2026-01-28
Arugula Baby,98.5,142,grs,lacomer,2026-01-28
